up
Upload #24
Reader: Noname  Site: AA
--------- upload 24 start ---------
E 2016-05-02 14:29:39.52 upload 23 complete
E 2016-05-02 14:30:37.77 parameter change: mux sequence '13'
D 2016-05-03 16:05:10.61 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-03 16:13:40.49 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2016-05-03 16:20:05.57 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 16:28:37.88 00:00:00.00 HR 0000_0000000180573731 A3    1  4456
D 2016-05-03 16:35:00.51 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
E 2016-05-03 16:43:00.01 11.4V 0.20A 0.83A 0.00A 0.79A 0.00A  1N  0N  1N  
D 2016-05-03 16:43:35.03 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-05-03 16:49:55.45 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 16:58:32.20 00:00:00.00 HR 0000_0000000180573731 A3    1  4455
D 2016-05-03 17:04:50.41 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 17:13:29.16 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-05-03 17:19:45.37 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 17:28:26.16 00:00:00.00 HR 0000_0000000180573731 A3    1  4454
D 2016-05-03 17:34:40.15 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-03 17:43:22.93 00:00:00.21 HR 0000_0000000180573731 A3    2  4453
D 2016-05-03 17:49:35.09 00:00:00.20 HR 0000_0000000180843403 A1    2  4444
D 2016-05-03 17:58:19.86 00:00:00.20 HR 0000_0000000180573731 A3    2  4453
D 2016-05-03 18:04:30.03 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-03 18:13:16.83 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-03 18:19:24.97 00:00:00.20 HR 0000_0000000180843403 A1    2  4444
D 2016-05-03 18:28:13.56 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-03 18:34:20.08 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 18:43:10.10 00:00:00.00 HR 0000_0000000180573731 A3    1  4452
D 2016-05-03 18:49:14.83 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-03 18:58:06.86 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-03 19:04:10.00 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-05-03 19:13:03.66 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-03 19:19:05.00 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
E 2016-05-03 19:20:00.01 11.4V 0.20A 0.84A 0.00A 0.79A 0.00A  0N  0N  0N  
D 2016-05-03 19:28:00.30 00:00:00.00 HR 0000_0000000180573731 A3    1  4452
