ad
                           supply                    supply     clock
                            amps                      volts     volts
                        A3 0.88         EA 0.43   11.8 V     3.3 V   15:57:09.19
Rx 0.22 Tx                 A3 0.88 A4 0.96 EA 0.56   11.8 V     3.3 V   15:57:09.70
Rx 0.20 Tx                 A3 0.88 A4 0.96 EA 0.55   11.8 V     3.3 V   15:57:10.22
Rx 0.21 Tx                 A3 0.88 A4 0.96 EA 0.56   11.8 V     3.3 V   15:57:10.73

>up
Upload #15
Reader: UPSTREAM 34  Site: AA
--------- upload 15 start ---------
E 2017-05-01 14:55:43.65 upload 14 complete
E 2017-05-01 15:04:29.76 supply power ok 12.4V
E 2017-05-01 15:04:29.76 database file opened
E 2017-05-01 15:04:29.77 starting reader after power up
D 2017-05-02 15:05:19.18 00:00:00.00 HR 0000_0000000180573731 A4    1  4461
D 2017-05-02 15:17:31.47 00:00:00.00 HR 0000_0000000180598569 A3    1  4459
D 2017-05-02 15:20:17.69 00:00:00.00 HR 0000_0000000180573731 A4    1  4461
D 2017-05-02 15:32:29.76 00:00:00.00 HR 0000_0000000180598569 A3    1  4460
D 2017-05-02 15:35:16.40 00:00:00.00 HR 0000_0000000180573731 A4    1  4462
D 2017-05-02 15:47:27.91 00:00:00.00 HR 0000_0000000180598569 A3    1  4459
D 2017-05-02 15:50:15.16 00:00:00.00 HR 0000_0000000180573731 A4    1  4462
D 2017-05-02 16:02:26.05 00:00:00.00 HR 0000_0000000180598569 A3    1  4459
D 2017-05-02 16:05:13.89 00:00:00.20 HR 0000_0000000180573731 A4    2  4462
D 2017-05-02 16:17:24.17 00:00:00.00 HR 0000_0000000180598569 A3    1  4459
D 2017-05-02 16:20:12.60 00:00:00.00 HR 0000_0000000180573731 A4    1  4461
D 2017-05-02 16:32:22.07 00:00:00.00 HR 0000_0000000180598569 A3    1  4458
D 2017-05-02 16:35:10.52 00:00:00.00 HR 0000_0000000180573731 A4    1  4458
D 2017-05-02 16:47:20.01 00:00:00.00 HR 0000_0000000180598569 A3    1  4458
D 2017-05-02 16:50:08.08 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-02 17:02:17.79 00:00:00.00 HR 0000_0000000180598569 A3    1  4457
D 2017-05-02 17:05:05.64 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-02 17:17:15.33 00:00:00.20 HR 0000_0000000180598569 A3    2  4456
