ad
                           supply                    supply     clock
                            amps                      volts     volts
                A2 0.94                 EA 0.46   13.0 V     3.2 V   12:08:44.41
Rx 0.23 Tx A1 1.70 A2 0.94                 EA 0.76   13.0 V     3.2 V   12:08:44.93
Rx 0.22 Tx A1 1.70 A2 0.94                 EA 0.76   13.0 V     3.2 V   12:08:45.45

>up
Upload #14
Reader: DOWNSTREAM 12  Site: AA
--------- upload 14 start ---------
E 2017-05-11 14:49:44.85 upload 13 complete
D 2017-05-11 14:50:16.39 00:00:00.00 HR 0000_0000000180843440 A1    1   345
E 2017-05-11 14:57:41.82 supply power ok 12.7V
E 2017-05-11 14:57:41.82 database file opened
E 2017-05-11 14:57:41.82 starting reader after power up
D 2017-05-12 06:28:50.91 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
D 2017-05-12 06:43:11.57 00:00:00.20 HR 0000_0000000180843440 A1    2  4438
D 2017-05-12 06:43:45.91 00:00:00.00 HR 0000_0000000180843403 A2    1  4443
D 2017-05-12 06:58:06.76 00:00:00.00 HR 0000_0000000180843440 A1    1  4443
D 2017-05-12 06:58:40.71 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-12 07:13:02.42 00:00:00.00 HR 0000_0000000180843440 A1    1  4446
D 2017-05-12 07:13:35.55 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-12 07:27:58.17 00:00:00.00 HR 0000_0000000180843440 A1    1  4447
D 2017-05-12 07:28:30.29 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-12 07:42:54.97 00:00:00.00 HR 0000_0000000180843440 A1    1  4452
D 2017-05-12 07:43:24.87 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-12 07:57:51.77 00:00:00.20 HR 0000_0000000180843440 A1    2  4452
D 2017-05-12 07:58:19.46 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-12 08:12:48.97 00:00:00.00 HR 0000_0000000180843440 A1    1  4453
D 2017-05-12 08:13:14.04 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-12 08:27:46.76 00:00:00.20 HR 0000_0000000180843440 A1    2  4457
D 2017-05-12 08:28:08.61 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-12 08:42:44.36 00:00:00.00 HR 0000_0000000180843440 A1    1  4455
D 2017-05-12 08:43:03.39 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-12 08:57:41.37 00:00:00.00 HR 0000_0000000180843440 A1    1  4453
D 2017-05-12 08:57:58.19 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-12 09:12:38.73 00:00:00.00 HR 0000_0000000180843440 A1    1  4455
D 2017-05-12 09:12:52.92 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-12 09:27:35.27 00:00:00.00 HR 0000_0000000180843440 A1    1  4451
D 2017-05-12 09:27:47.45 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-12 09:42:31.42 00:00:00.00 HR 0000_0000000180843440 A1    1  4449
D 2017-05-12 09:42:42.19 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-12 09:57:27.59 00:00:00.00 HR 0000_0000000180843440 A1    1  4449
D 2017-05-12 09:57:36.75 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-12 10:12:24.33 00:00:00.00 HR 0000_0000000180843440 A1    1  4452
D 2017-05-12 10:12:31.47 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-12 10:27:20.45 00:00:00.00 HR 0000_0000000180843440 A1    1  4449
D 2017-05-12 10:27:26.19 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-12 10:42:17.01 00:00:00.00 HR 0000_0000000180843440 A1    1  4451
D 2017-05-12 10:42:20.73 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-12 10:57:12.56 00:00:00.00 HR 0000_0000000180843440 A1    1  4446
D 2017-05-12 10:57:15.28 00:00:00.20 HR 0000_0000000180843403 A2    2  4441
D 2017-05-12 11:12:07.67 00:00:00.00 HR 0000_0000000180843440 A1    1  4444
D 2017-05-12 11:12:09.98 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-12 11:27:02.66 00:00:00.00 HR 0000_0000000180843440 A1    1  4443
D 2017-05-12 11:27:04.57 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-12 11:41:57.62 00:00:00.00 HR 0000_0000000180843440 A1    1  4443
D 2017-05-12 11:41:58.94 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-12 11:56:52.37 00:00:00.00 HR 0000_0000000180843440 A1    1  4442
D 2017-05-12 11:56:53.48 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-12 12:11:47.36 00:00:00.00 HR 0000_0000000180843440 A1    1  4443
D 2017-05-12 12:11:48.07 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-12 12:26:42.48 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-12 12:26:42.58 00:00:00.00 HR 0000_0000000180843440 A1    1  4444
D 2017-05-12 12:41:36.87 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-12 12:41:37.57 00:00:00.20 HR 0000_0000000180843440 A1    2  4443
D 2017-05-12 12:56:31.47 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-12 12:56:32.58 00:00:00.00 HR 0000_0000000180843440 A1    1  4442
D 2017-05-12 13:11:25.87 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-12 13:11:27.79 00:00:00.20 HR 0000_0000000180843440 A1    2  4444
D 2017-05-12 13:26:20.24 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-12 13:26:23.16 00:00:00.00 HR 0000_0000000180843440 A1    1  4444
D 2017-05-12 13:41:14.57 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-12 13:41:17.89 00:00:00.00 HR 0000_0000000180843440 A1    1  4442
D 2017-05-12 13:56:09.13 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-12 13:56:12.45 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-12 14:11:03.51 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-12 14:11:07.24 00:00:00.00 HR 0000_0000000180843440 A1    1  4442
D 2017-05-12 14:25:57.89 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-12 14:26:02.02 00:00:00.20 HR 0000_0000000180843440 A1    2  4442
D 2017-05-12 14:40:52.26 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-12 14:40:56.79 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-12 14:55:46.62 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-12 14:55:51.36 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-05-12 15:10:41.00 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-12 15:10:45.92 00:00:00.21 HR 0000_0000000180843440 A1    2  4441
D 2017-05-12 15:25:35.23 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
