ad
                           supply                    supply     clock
                            amps                      volts     volts
        A1 1.82                         EA 0.89   11.8 V     3.3 V   13:34:20.70
Rx 0.20 Tx A1 1.79 A2 0.72                 EA 0.72   11.8 V     3.3 V   13:34:21.23
Rx 0.21 Tx A1 1.80 A2 0.72                 EA 0.72   11.8 V     3.3 V   13:34:21.74
Rx 0.20 Tx A1 1.81 A2 0.73                 EA 0.72   11.8 V     3.3 V   13:34:22.26

>up
Upload #26
Reader: DOWNSTREAM 12  Site: AA
--------- upload 26 start ---------
E 2017-06-05 11:44:34.67 upload 25 complete
D 2017-06-05 11:45:41.28 00:00:00.00 HR 0000_0000000180843403 A1    1   627
E 2017-06-05 12:07:45.41 supply power ok 12.5V
E 2017-06-05 12:07:45.41 database file opened
E 2017-06-05 12:07:45.41 starting reader after power up
D 2017-06-06 10:06:30.85 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 10:17:44.81 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-06 10:21:24.84 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 10:32:39.05 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-06 10:36:18.68 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-06 10:47:33.22 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-06 10:51:12.65 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 11:02:27.55 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-06 11:06:06.55 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 11:17:21.93 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-06 11:21:00.53 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 11:32:16.13 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-06 11:35:54.57 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 11:47:10.33 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
