ad
                           supply                    supply     clock
                            amps                      volts     volts
Rx 0.21 Tx A1 0.95 A2 0.82                 EA 0.54   12.0 V     3.3 V   15:19:16.74
Rx 0.20 Tx A1 0.96 A2 0.81                 EA 0.54   12.0 V     3.3 V   15:19:17.26
Rx 0.21 Tx A1 0.96 A2 0.81                 EA 0.54   12.0 V     3.3 V   15:19:17.77
Rx 0.21 Tx A1 0.95 A2 0.81                 EA 0.54   12.0 V     3.3 V   15:19:18.29
Rx 0.21 Tx A1 0.94 A2 0.82                 EA 0.54   12.0 V     3.3 V   15:19:18.80
Rx 0.23 Tx A1 0.91 A2 0.81                 EA 0.53   12.0 V     3.3 V   15:19:19.31
Rx 0.24 Tx A1 0.96 A2 0.81                 EA 0.56   12.0 V     3.3 V   15:19:19.82

>
2014-05-21 15:20:10.42 00:00:00.00 HR 0000_0000000180573731 A1   1 4149
2014-05-21 15:20:10.42 00:00:00.09 HR 0000_0000000180573731 A1   2
2014-05-21 15:20:10.42 00:00:00.09 HR 0000_0000000180573731 A1   2 4149 DETECT
up  

>up
Upload #18
Reader: Noname  Site: AA
--------- upload 18 start ---------
E 2014-05-19 16:17:03.55 upload 17 complete
D 2014-05-19 16:48:35.68 00:00:00.00 HR 0000_0000000181177673 A1    1     1
D 2014-05-19 16:48:35.77 00:00:00.00 HR 0000_0000000181177673 A1    1     1
D 2014-05-19 16:48:35.85 00:00:00.00 HR 0000_0000000181177673 A1    1     1
D 2014-05-19 16:48:35.94 00:00:00.00 HR 0000_0000000181177673 A1    1     1
D 2014-05-19 16:48:35.04 00:00:00.00 HR 0000_0000000181177673 A1    1     1
D 2014-05-19 16:48:35.50 00:00:00.00 HR 0000_0000000181177673 A1    1    33
D 2014-05-19 16:48:35.59 00:00:00.00 HR 0000_0000000181177673 A1    1     1
D 2014-05-19 16:48:35.68 00:00:00.00 HR 0000_0000000181177673 A1    1     1
D 2014-05-19 16:48:35.77 00:00:00.00 HR 0000_0000000181177673 A1    1     1
D 2014-05-19 16:48:35.85 00:00:00.00 HR 0000_0000000181177673 A1    1     1
D 2014-05-19 16:48:35.94 00:00:00.00 HR 0000_0000000181177673 A1    1     1
D 2014-05-19 16:48:35.04 00:00:00.00 HR 0000_0000000181177673 A1    1     1
D 2014-05-19 16:48:52.41 00:00:00.00 HA      900_226000080255 A1    1   134
D 2014-05-19 16:48:52.70 00:00:00.00 HA      900_226000080255 A1    1     6
D 2014-05-19 16:48:53.63 00:00:00.00 HA      900_226000080255 A1    1    21
D 2014-05-19 16:48:54.48 00:00:00.00 HA      900_226000080255 A1    1    19
D 2014-05-19 16:48:54.57 00:00:00.00 HA      900_226000080255 A1    1     1
D 2014-05-19 16:48:54.66 00:00:00.00 HA      900_226000080255 A1    1     1
D 2014-05-19 16:48:55.22 00:00:00.00 HA      900_226000080255 A1    1    12
D 2014-05-19 16:48:56.43 00:00:00.00 HA      900_226000080255 A1    1    28
D 2014-05-19 16:48:57.33 00:00:00.00 HA      900_226000080255 A1    1    20
D 2014-05-19 16:48:57.42 00:00:00.00 HA      900_226000080255 A1    1     1
E 2014-05-19 16:49:17.31 parameter change: mux sequence '12'
D 2014-05-19 16:49:26.45 00:00:00.61 HA      900_226000080255 A1    8   588
D 2014-05-19 16:49:32.92 00:00:00.81 HA      900_226000080255 A1   10    69
D 2014-05-19 16:49:34.56 00:00:00.35 HA      900_226000080255 A1    5     9
D 2014-05-19 16:49:35.84 00:00:00.09 HA      900_226000080255 A1    2    10
D 2014-05-19 16:49:40.21 00:00:00.09 HA      900_226000080255 A1    2    50
D 2014-05-19 16:49:40.64 00:00:00.00 HA      900_226000080255 A1    1     3
D 2014-05-19 16:49:41.07 00:00:00.26 HA      900_226000080255 A1    4     4
D 2014-05-19 16:49:43.93 00:00:00.54 HA      900_226000080255 A1    7    30
D 2014-05-19 16:49:51.72 00:00:00.96 HR 0000_0000000181177673 A1   12    86
D 2014-05-19 16:49:52.93 23:59:59.19 HR 0000_0000000181177673 A1    3     2
D 2014-05-19 16:50:06.29 00:00:00.35 HA      900_226000080255 A1    5   157
D 2014-05-19 16:50:06.07 00:00:01.45 HA      900_226000080255 A1    6     4
D 2014-05-19 16:50:08.68 00:00:00.27 HA      900_226000080255 A1    4    13
D 2014-05-19 16:50:09.46 00:00:00.54 HA      900_226000080255 A1    7     5
E 2014-05-19 16:50:17.53 parameter change: mux sequence '1'
D 2014-05-19 16:50:26.49 00:00:00.00 HA      900_226000080255 A1    1   304
D 2014-05-19 16:50:27.42 00:00:00.00 HA      900_226000080255 A1    1    21
D 2014-05-19 16:50:27.51 00:00:00.00 HA      900_226000080255 A1    1     1
D 2014-05-19 16:50:27.60 00:00:00.00 HA      900_226000080255 A1    1     1
D 2014-05-19 16:50:27.69 00:00:00.00 HA      900_226000080255 A1    1     1
D 2014-05-19 16:50:27.78 00:00:00.00 HA      900_226000080255 A1    1     1
D 2014-05-19 16:50:28.17 00:00:00.00 HA      900_226000080255 A1    1     8
D 2014-05-19 16:50:28.25 00:00:00.00 HA      900_226000080255 A1    1     1
D 2014-05-19 16:50:28.38 00:00:00.00 HA      900_226000080255 A1    1     2
D 2014-05-19 16:50:28.10 00:00:00.00 HA      900_226000080255 A1    1    11
D 2014-05-19 16:50:28.19 00:00:00.00 HA      900_226000080255 A1    1     1
D 2014-05-19 16:50:28.27 00:00:00.00 HA      900_226000080255 A1    1     1
D 2014-05-19 16:50:28.36 00:00:00.00 HA      900_226000080255 A1    1     1
D 2014-05-19 16:50:28.45 00:00:00.00 HA      900_226000080255 A1    1     1
D 2014-05-19 16:50:28.17 00:00:00.00 HA      900_226000080255 A1    1    16
D 2014-05-19 16:50:28.25 00:00:00.00 HA      900_226000080255 A1    1     1
D 2014-05-19 16:50:28.38 00:00:00.00 HA      900_226000080255 A1    1     2
E 2014-05-19 16:50:51.15 parameter change: mux sequence '12'
D 2014-05-19 16:52:49.25 00:00:00.09 HR 0000_0000000181177673 A2    2  3917
D 2014-05-19 16:52:50.27 00:00:06.66 HR 0000_0000000181177673 A2   77    10
D 2014-05-19 16:52:57.61 00:00:08.32 HR 0000_0000000181177673 A2   96     7
D 2014-05-19 16:53:07.70 00:00:02.98 HR 0000_0000000181177673 A2   35    20
D 2014-05-19 16:53:14.93 00:00:03.95 HR 0000_0000000181177673 A2   46    50
D 2014-05-19 16:53:22.32 00:00:01.65 HR 0000_0000000181177673 A2   20    40
D 2014-05-19 16:53:40.33 00:00:01.33 HA      900_226000080255 A2   16   195
D 2014-05-19 16:53:42.57 00:00:00.00 HA      900_226000080255 A2    1    10
E 2014-05-19 16:54:02.55 parameter change: mux sequence '2'
D 2014-05-19 16:54:31.64 00:00:08.09 HR 0000_0000000181177673 A2  165   936
D 2014-05-19 16:54:40.69 00:00:03.40 HR 0000_0000000181177673 A2   69    32
D 2014-05-19 16:54:45.89 00:00:03.94 HR 0000_0000000181177673 A2   80    48
D 2014-05-19 16:54:49.88 00:00:02.61 HR 0000_0000000181177673 A2   53     1
D 2014-05-19 16:54:52.18 00:00:01.19 HR 0000_0000000181177673 A2    5    26
D 2014-05-19 16:55:10.15 00:00:00.00 HA      900_226000080255 A2    1   400
D 2014-05-19 16:55:10.24 00:00:03.73 HA      900_226000080255 A2   70     1
E 2014-05-19 16:55:41.26 parameter change: mux sequence '12'
D 2014-05-19 16:58:45.17 00:00:00.09 HR 0000_0000000180573731 A1    2  4873
D 2014-05-19 17:13:42.75 00:00:00.08 HR 0000_0000000180573731 A1    2 10781
D 2014-05-19 17:15:26.90 00:00:00.88 HR 0000_0000000181177673 A1   11  1249
D 2014-05-19 17:15:29.96 23:59:59.61 HR 0000_0000000181177673 A1    8    13
D 2014-05-19 17:15:30.50 00:00:00.62 HR 0000_0000000181177673 A1    8    10
D 2014-05-19 17:15:47.73 00:00:00.62 HA      900_226000080255 A1    8   198
D 2014-05-19 17:15:50.45 00:00:00.36 HA      900_226000080255 A1    5    24
D 2014-05-19 17:17:58.71 00:00:00.71 HA      900_226000080255 A1    9  1535
D 2014-05-19 17:17:59.59 00:00:00.00 HA      900_226000080255 A1    1     1
D 2014-05-19 17:17:59.77 00:00:00.00 HA      900_226000080255 A1    1     1
D 2014-05-19 17:17:59.94 00:00:00.00 HA      900_226000080255 A1    1     1
D 2014-05-19 17:18:02.62 00:00:00.63 HA      900_226000080255 A1    8    31
D 2014-05-19 17:18:03.75 00:00:00.27 HA      900_226000080255 A1    4     5
D 2014-05-19 17:18:04.69 00:00:00.63 HA      900_226000080255 A1    8     7
D 2014-05-19 17:18:08.25 00:00:00.53 HA      900_226000080255 A1    7    34
D 2014-05-19 17:18:10.38 00:00:00.35 HA      900_226000080255 A1    5    18
D 2014-05-19 17:18:10.32 00:00:01.35 HA      900_226000080255 A1    5     6
E 2014-05-19 17:21:07.67 parameter change: mux sequence '1'
E 2014-05-19 17:21:22.90 parameter change: mux sequence '2'
E 2014-05-19 17:21:45.31 parameter change: mux sequence '12'
D 2014-05-19 17:22:47.71 00:00:00.62 HR 0000_0000000181177673 A1    8  3234
D 2014-05-19 17:22:49.26 00:00:00.26 HR 0000_0000000181177673 A1    4    10
D 2014-05-19 17:22:56.93 00:00:00.00 HA      900_226000080255 A1    1    88
D 2014-05-19 17:23:00.71 00:00:00.27 HA      900_226000080255 A1    4    44
D 2014-05-19 17:23:03.25 00:00:00.18 HA      900_226000080255 A1    3    26
D 2014-05-19 17:23:07.04 00:00:00.09 HA      900_226000080255 A1    2    42
D 2014-05-19 17:23:07.47 00:00:00.09 HA      900_226000080255 A1    2     3
D 2014-05-19 17:25:03.52 00:00:00.54 HA      900_226000080255 A1    7  1392
D 2014-05-19 17:25:05.07 00:00:00.27 HA      900_226000080255 A1    4    11
D 2014-05-19 17:25:10.21 00:00:00.44 HA      900_226000080255 A1    6    57
D 2014-05-19 17:25:14.51 00:00:00.44 HA      900_226000080255 A1    6    45
D 2014-05-19 17:25:17.14 00:00:00.62 HA      900_226000080255 A1    8    25
D 2014-05-19 17:25:34.11 00:00:00.97 HA      900_226000080255 A1   12   194
D 2014-05-19 17:25:35.75 00:00:00.71 HA      900_226000080255 A1    9     7
D 2014-05-19 17:25:43.68 00:00:00.53 HA      900_226000080255 A1    7    85
D 2014-05-19 17:25:45.30 00:00:00.98 HA      900_226000080255 A1   12    12
D 2014-05-19 17:25:46.78 00:00:00.80 HA      900_226000080255 A1   10     5
D 2014-05-19 17:25:57.47 00:00:00.81 HA      900_226000080255 A1   10   117
D 2014-05-19 17:25:58.95 00:00:00.53 HA      900_226000080255 A1    7     7
D 2014-05-19 17:25:59.73 00:00:00.45 HA      900_226000080255 A1    6     2
D 2014-05-19 17:26:00.60 00:00:00.45 HA      900_226000080255 A1    6     4
D 2014-05-19 17:26:03.98 00:00:00.10 HA      900_226000080255 A1    2    34
D 2014-05-19 17:26:17.82 00:00:00.71 HA      900_226000080255 A1    9   163
D 2014-05-19 17:26:18.70 00:00:00.00 HA      900_226000080255 A1    1     1
D 2014-05-19 17:26:18.87 00:00:00.00 HA      900_226000080255 A1    1     1
D 2014-05-19 17:26:19.38 00:00:00.00 HA      900_226000080255 A1    1     5
D 2014-05-19 17:26:20.73 00:00:00.00 HA      900_226000080255 A1    1    15
D 2014-05-19 17:26:20.90 00:00:00.00 HA      900_226000080255 A1    1     1
D 2014-05-19 17:26:21.24 00:00:00.00 HA      900_226000080255 A1    1     3
D 2014-05-19 17:26:32.14 00:00:00.44 HA      900_226000080255 A1    6   129
