ad
                           supply                    supply     clock
                            amps                      volts     volts
                                A4 0.84 EA 3.66   12.1 V     3.3 V   14:43:10.85
Rx 0.22 Tx                 A3 0.88 A4 0.84 EA 0.54   12.1 V     3.3 V   14:43:11.38
Rx 0.20 Tx                 A3 0.88 A4 0.82 EA 0.52   12.1 V     3.3 V   14:43:11.89
Rx 0.21 Tx                 A3 0.88 A4 0.84 EA 0.53   12.1 V     3.3 V   14:43:12.41

>up
Upload #26
Reader: UPSTREAM 34  Site: Up
--------- upload 26 start ---------
E 2019-06-13 14:38:39.29 upload 25 complete
E 2019-06-13 14:53:50.19 supply power ok 12.5V
E 2019-06-13 14:53:50.19 database file opened
E 2019-06-13 14:53:50.19 starting reader after power up
D 2019-06-13 22:48:09.62 00:00:00.00 HW 0000_0000000000004896 A3    1  8914
D 2019-06-13 22:49:59.07 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-13 23:03:06.92 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-06-13 23:04:52.95 00:00:00.21 HR 0000_0000000180843403 A4    2  4438
D 2019-06-13 23:18:04.46 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-13 23:19:46.86 00:00:00.00 HR 0000_0000000180843403 A4    1  4437
D 2019-06-13 23:33:01.97 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-13 23:34:40.95 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-06-13 23:49:34.84 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 00:02:56.80 00:00:00.00 HW 0000_0000000000004896 A3    1  8912
D 2019-06-14 00:04:28.74 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 00:17:54.16 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-06-14 00:19:22.66 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 00:32:51.64 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-14 00:34:16.52 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 00:47:48.93 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-06-14 00:49:10.41 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 01:04:04.28 00:00:00.20 HR 0000_0000000180843403 A4    2  4438
D 2019-06-14 01:17:43.74 00:00:00.00 HW 0000_0000000000004896 A3    1  8912
D 2019-06-14 01:32:41.02 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-06-14 01:33:52.21 00:00:00.00 HR 0000_0000000180843403 A4    1  8877
D 2019-06-14 01:47:38.36 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-06-14 01:48:46.12 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 02:02:35.87 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-14 02:03:40.02 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 02:17:33.19 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-06-14 02:18:33.91 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 02:32:30.53 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-06-14 02:33:27.82 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
