ss
15.2 scans/second,  7.6 7.6 0.0 0.0 Tx45/Rx21ms (68% on) noise: 2 2 0 0
14.9 scans/second,  7.6 7.3 0.0 0.0 Tx45/Rx21ms (68% on) noise: 0 2 0 0
14.9 scans/second,  7.3 7.6 0.0 0.0 Tx45/Rx21ms (68% on) noise: 0 0 0 0
14.9 scans/second,  7.6 7.3 0.0 0.0 Tx45/Rx21ms (68% on) noise: 2 2 0 0
14.9 scans/second,  7.3 7.6 0.0 0.0 Tx45/Rx21ms (68% on) noise: 2 0 0 0
14.9 scans/second,  7.3 7.6 0.0 0.0 Tx45/Rx21ms (68% on) noise: 0 2 0 0

>ad
                           supply                 supply     clock
                            amps                   volts     volts
Rx 0.22 Tx A1 1.15 A2 1.19                 EA 0.87   12.5 V     3.3 V   15:45:54.46
Rx 0.20 Tx A1 1.16 A2 1.19                 EA 0.86   12.5 V     3.3 V   15:45:54.97
Rx 0.15 Tx A1 1.09 A2 1.18                 EA 0.82   12.5 V     3.3 V   15:45:55.49

>av
AV [supply voltage]

>

>ad
                           supply                 supply     clock
                            amps                   volts     volts
Rx 0.17 Tx A1 1.15 A2 1.19                 EA 0.85   12.5 V     3.3 V   15:46:18.14
Rx 0.15 Tx A1 1.15 A2 1.14                 EA 0.82   12.5 V     3.3 V   15:46:18.65
Rx 0.15 Tx A1 1.15 A2 1.17                 EA 0.83   12.5 V     3.3 V   15:46:19.17
Rx 0.17 Tx A1 1.15 A2 1.19                 EA 0.85   12.5 V     3.3 V   15:46:19.68
Rx 0.19 Tx A1 1.16 A2 1.19                 EA 0.86   12.5 V     3.3 V   15:46:20.20

>up
upload #52 start: 05/10/2013 13:04:59.82
Site code: JUL
--------- upload 52 start ---------
05/10/2013 13:04:59.82 upload 51 complete
05/10/2013 13:08:27.49 supply power ok 12.9V
05/10/2013 13:08:27.49 database file opened
05/10/2013 13:08:27.49 starting reader after power up
05/11/2013 08:48:25.05  00:00:00.14 R 0000_0000000180843403 A1    2  6775
05/11/2013 09:03:20.60  00:00:00.14 R 0000_0000000180843403 A1    2  6778
05/11/2013 09:07:56.37  00:00:00.13 R 0000_0000000180598569 A2    2 13970
05/11/2013 09:18:16.36  00:00:00.00 R 0000_0000000180843403 A1    1  6773
05/11/2013 09:33:11.94  00:00:00.15 R 0000_0000000180843403 A1    2  6772
05/11/2013 09:38:49.25  00:00:00.00 R 0000_0000000180598569 A2    1 13990
05/11/2013 09:48:07.55  00:00:00.14 R 0000_0000000180843403 A1    2  6769
05/11/2013 10:03:03.19  00:00:00.14 R 0000_0000000180843403 A1    2  6767
05/11/2013 10:09:41.91  00:00:00.15 R 0000_0000000180598569 A2    2 13987
05/11/2013 10:17:58.85  00:00:00.00 R 0000_0000000180843403 A1    1  6779
05/11/2013 10:32:54.42  00:00:00.13 R 0000_0000000180843403 A1    2  6775
05/11/2013 10:40:34.62  00:00:00.13 R 0000_0000000180598569 A2    2 13957
05/11/2013 10:47:50.04  00:00:00.14 R 0000_0000000180843403 A1    2  6791
05/11/2013 11:02:45.70  00:00:00.14 R 0000_0000000180843403 A1    2  6779
05/11/2013 11:11:27.54  00:00:00.13 R 0000_0000000180598569 A2    2 13966
05/11/2013 11:17:41.27  00:00:00.13 R 0000_0000000180843403 A1    2  6781
05/11/2013 11:32:36.69  00:00:00.14 R 0000_0000000180843403 A1    2  6777
05/11/2013 11:42:20.73  00:00:00.00 R 0000_0000000180598569 A2    1 13970
05/11/2013 11:47:32.25  00:00:00.00 R 0000_0000000180843403 A1    1  6780
05/11/2013 12:02:27.77  00:00:00.14 R 0000_0000000180843403 A1    2  6779
05/11/2013 12:13:13.74  00:00:00.14 R 0000_0000000180598569 A2    2 13958
05/11/2013 12:17:23.18  00:00:00.14 R 0000_0000000180843403 A1    2  6787
05/11/2013 12:32:18.67  00:00:00.14 R 0000_0000000180843403 A1    2  6788
05/11/2013 12:44:06.96  00:00:00.00 R 0000_0000000180598569 A2    1 13943
05/11/2013 12:47:14.19  00:00:00.14 R 0000_0000000180843403 A1    2  6799
05/11/2013 13:02:09.86  00:00:00.15 R 0000_0000000180843403 A1    2  6800
05/11/2013 13:14:59.82  00:00:00.00 R 0000_0000000180598569 A2    1 13894
05/11/2013 13:17:05.36  00:00:00.14 R 0000_0000000180843403 A1    2  6836
