up6
Upload #6, 968 records
Reader: Noname  Site: AA
--------- upload 6 start ---------
E 2016-03-18 09:38:07.09 upload 5 complete
E 2016-03-18 09:41:16.11 parameter change: mux sequence '13'
D 2016-03-18 18:59:59.28 00:00:00.00 HR 0000_0000000180573731 A3    1  4449
D 2016-03-18 19:01:49.71 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-03-18 19:14:55.30 00:00:00.00 HR 0000_0000000180573731 A3    1  4449
D 2016-03-18 19:16:45.34 00:00:00.00 HR 0000_0000000180843403 A1    1  4447
D 2016-03-18 19:29:51.15 00:00:00.00 HR 0000_0000000180573731 A3    1  4448
D 2016-03-18 19:31:40.77 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-03-18 19:44:47.02 00:00:00.00 HR 0000_0000000180573731 A3    1  4448
D 2016-03-18 19:46:36.26 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-03-18 19:59:42.86 00:00:00.00 HR 0000_0000000180573731 A3    1  4448
D 2016-03-18 20:01:31.90 00:00:00.00 HR 0000_0000000180843403 A1    1  4447
D 2016-03-18 20:14:38.56 00:00:00.20 HR 0000_0000000180573731 A3    2  4447
D 2016-03-18 20:16:27.40 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-03-18 20:29:34.62 00:00:00.00 HR 0000_0000000180573731 A3    1  4448
D 2016-03-18 20:31:23.06 00:00:00.00 HR 0000_0000000180843403 A1    1  4447
E 2016-03-18 20:41:00.01 11.6V 0.20A 0.95A 0.00A 0.80A 0.00A  1N  0N  2N  
D 2016-03-18 20:44:30.32 00:00:00.00 HR 0000_0000000180573731 A3    1  4447
D 2016-03-18 20:46:18.76 00:00:00.00 HR 0000_0000000180843403 A1    1  4447
D 2016-03-18 20:59:26.19 00:00:00.00 HR 0000_0000000180573731 A3    1  4448
D 2016-03-18 21:01:14.42 00:00:00.00 HR 0000_0000000180843403 A1    1  4447
D 2016-03-18 21:14:21.86 00:00:00.21 HR 0000_0000000180573731 A3    2  4447
D 2016-03-18 21:16:10.11 00:00:00.00 HR 0000_0000000180843403 A1    1  4447
D 2016-03-18 21:29:17.76 00:00:00.00 HR 0000_0000000180573731 A3    1  4447
